Día,year,mes,valor
15,2019.0,Sep,
16,2019.0,Sep,707.07
17,2019.0,Sep,709.81
18,2019.0,Sep,
19,2019.0,Sep,
20,2019.0,Sep,
21,2019.0,Sep,
22,2019.0,Sep,
23,2019.0,Sep,715.24
24,2019.0,Sep,722.17
25,2019.0,Sep,721.92
26,2019.0,Sep,727.08
27,2019.0,Sep,726.17
28,2019.0,Sep,
29,2019.0,Sep,
30,2019.0,Sep,725.68
31,2019.0,Sep,
1,2020.0,Sep,776.46
2,2020.0,Sep,770.59
3,2020.0,Sep,771.45
4,2020.0,Sep,773.71
5,2020.0,Sep,
6,2020.0,Sep,
7,2020.0,Sep,773.76
8,2020.0,Sep,773.24
9,2020.0,Sep,776.65
10,2020.0,Sep,767.87
11,2020.0,Sep,764.99
12,2020.0,Sep,
13,2020.0,Sep,
14,2020.0,Sep,768.34
15,2020.0,Sep,767.01
16,2020.0,Sep,760.01
17,2020.0,Sep,761.54
18,2020.0,Sep,
19,2020.0,Sep,
20,2020.0,Sep,
21,2020.0,Sep,764.34
22,2020.0,Sep,772.83
23,2020.0,Sep,773.4
24,2020.0,Sep,781.44
25,2020.0,Sep,788.02
26,2020.0,Sep,
27,2020.0,Sep,
28,2020.0,Sep,787.15
29,2020.0,Sep,784.19
30,2020.0,Sep,784.46
31,2020.0,Sep,
1,2019.0,Oct,728.21
2,2019.0,Oct,729.38
3,2019.0,Oct,727.8
4,2019.0,Oct,719.53
5,2019.0,Oct,
6,2019.0,Oct,
7,2019.0,Oct,715.53
8,2019.0,Oct,717.05
9,2019.0,Oct,722.28
10,2019.0,Oct,724.27
11,2019.0,Oct,720.61
12,2019.0,Oct,
13,2019.0,Oct,
14,2019.0,Oct,712.98
15,2019.0,Oct,712.04
16,2019.0,Oct,715.48
17,2019.0,Oct,718.69
18,2019.0,Oct,713.23
19,2019.0,Oct,
20,2019.0,Oct,
21,2019.0,Oct,709.71
22,2019.0,Oct,723.52
23,2019.0,Oct,726.24
24,2019.0,Oct,726.15
25,2019.0,Oct,723.43
26,2019.0,Oct,
27,2019.0,Oct,
28,2019.0,Oct,725.87
29,2019.0,Oct,724.37
30,2019.0,Oct,726.34
31,2019.0,Oct,
1,2020.0,Oct,788.15
2,2020.0,Oct,785.04
3,2020.0,Oct,
4,2020.0,Oct,
5,2020.0,Oct,790.81
6,2020.0,Oct,794.34
7,2020.0,Oct,797.35
8,2020.0,Oct,795.05
9,2020.0,Oct,797.25
10,2020.0,Oct,
11,2020.0,Oct,
12,2020.0,Oct,
13,2020.0,Oct,796.05
14,2020.0,Oct,797.66
15,2020.0,Oct,798.56
16,2020.0,Oct,801.91
17,2020.0,Oct,
18,2020.0,Oct,
19,2020.0,Oct,795.68
20,2020.0,Oct,788.27
21,2020.0,Oct,786.66
22,2020.0,Oct,784.07
23,2020.0,Oct,781.41
24,2020.0,Oct,
25,2020.0,Oct,
26,2020.0,Oct,777.72
27,2020.0,Oct,779.57
28,2020.0,Oct,772.05
29,2020.0,Oct,775.56
30,2020.0,Oct,770.45
31,2020.0,Oct,
1,2019.0,Nov,
2,2019.0,Nov,
3,2019.0,Nov,
4,2019.0,Nov,735.05
5,2019.0,Nov,736.66
6,2019.0,Nov,745.85
7,2019.0,Nov,743.65
8,2019.0,Nov,740.23
9,2019.0,Nov,
10,2019.0,Nov,
11,2019.0,Nov,746.23
12,2019.0,Nov,756.08
13,2019.0,Nov,783.72
14,2019.0,Nov,794.51
15,2019.0,Nov,801.83
16,2019.0,Nov,
17,2019.0,Nov,
18,2019.0,Nov,782.82
19,2019.0,Nov,773.81
20,2019.0,Nov,782.71
21,2019.0,Nov,797.17
22,2019.0,Nov,795.14
23,2019.0,Nov,
24,2019.0,Nov,
25,2019.0,Nov,795.94
26,2019.0,Nov,791.16
27,2019.0,Nov,793.49
28,2019.0,Nov,806.3
29,2019.0,Nov,828.25
30,2019.0,Nov,
31,2019.0,Nov,
1,2020.0,Nov,
2,2020.0,Nov,771.92
3,2020.0,Nov,769.17
4,2020.0,Nov,758.53
5,2020.0,Nov,757.16
6,2020.0,Nov,752.01
7,2020.0,Nov,
8,2020.0,Nov,
9,2020.0,Nov,759.25
10,2020.0,Nov,753.75
11,2020.0,Nov,760.9
12,2020.0,Nov,757.42
13,2020.0,Nov,757.43
14,2020.0,Nov,
15,2020.0,Nov,
16,2020.0,Nov,766.7
17,2020.0,Nov,767.86
18,2020.0,Nov,767.05
19,2020.0,Nov,758.1
20,2020.0,Nov,758.62
21,2020.0,Nov,
22,2020.0,Nov,
23,2020.0,Nov,761.55
24,2020.0,Nov,765.96
25,2020.0,Nov,772.83
26,2020.0,Nov,771.68
27,2020.0,Nov,766.0
28,2020.0,Nov,
29,2020.0,Nov,
30,2020.0,Nov,766.69
31,2020.0,Nov,
1,2019.0,Dic,
2,2019.0,Dic,812.13
3,2019.0,Dic,804.29
4,2019.0,Dic,802.44
5,2019.0,Dic,796.75
6,2019.0,Dic,784.25
7,2019.0,Dic,
8,2019.0,Dic,
9,2019.0,Dic,779.04
10,2019.0,Dic,771.29
11,2019.0,Dic,778.14
12,2019.0,Dic,772.93
13,2019.0,Dic,768.69
14,2019.0,Dic,
15,2019.0,Dic,
16,2019.0,Dic,766.76
17,2019.0,Dic,762.83
18,2019.0,Dic,756.95
19,2019.0,Dic,752.3
20,2019.0,Dic,752.6
21,2019.0,Dic,
22,2019.0,Dic,
23,2019.0,Dic,749.83
24,2019.0,Dic,754.27
25,2019.0,Dic,
26,2019.0,Dic,751.04
27,2019.0,Dic,746.66
28,2019.0,Dic,
29,2019.0,Dic,
30,2019.0,Dic,744.62
31,2019.0,Dic,
1,2020.0,Dic,767.29
2,2020.0,Dic,760.16
3,2020.0,Dic,755.34
4,2020.0,Dic,752.03
5,2020.0,Dic,
6,2020.0,Dic,
7,2020.0,Dic,747.61
8,2020.0,Dic,
9,2020.0,Dic,744.82
10,2020.0,Dic,739.45
11,2020.0,Dic,738.17
12,2020.0,Dic,
13,2020.0,Dic,
14,2020.0,Dic,733.55
15,2020.0,Dic,731.58
16,2020.0,Dic,734.23
17,2020.0,Dic,735.09
18,2020.0,Dic,723.44
19,2020.0,Dic,
20,2020.0,Dic,
21,2020.0,Dic,723.85
22,2020.0,Dic,730.7
23,2020.0,Dic,728.96
24,2020.0,Dic,716.25
25,2020.0,Dic,
26,2020.0,Dic,
27,2020.0,Dic,
28,2020.0,Dic,710.26
29,2020.0,Dic,710.64
30,2020.0,Dic,711.24
31,2020.0,Dic,
